food.species,sex ,time,dead,introdate,lastdate
sucrose control,male,14,1,27-Jun,11-Jul
sucrose control,female,12,1,27-Jun,9-Jul
sucrose control,male,9,1,28-Jun,7-Jul
sucrose control,female,9,1,28-Jun,7-Jul
sucrose control,male,11,1,28-Jun,9-Jul
sucrose control,male,13,1,28-Jun,11-Jul
sucrose control,female,11,1,28-Jun,9-Jul
sucrose control,female,9,0,28-Jun,7-Jul
sucrose control,male,14,1,19-Jul,2-Aug
sucrose control,male,10,1,19-Jul,29-Jul
sucrose control,female,14,1,19-Jul,2-Aug
sucrose control,female,1,0,19-Jul,20-Jul
sucrose control,male,10,0,18-Jul,28-Jul
sucrose control,male,10,0,18-Jul,28-Jul
sucrose control,female,10,0,18-Jul,28-Jul
sucrose control,female,10,0,18-Jul,28-Jul
sucrose control,male,14,1,9-Aug,23-Aug
sucrose control,female,19,1,9-Aug,28-Aug
sucrose control,female,17,1,9-Aug,26-Aug
sucrose control,male,2,1,9-Aug,11-Aug
sucrose control,male,18,1,1/nov,19-Nov
sucrose control,female,18,1,1/nov,19-Nov
sucrose control,male,4,1,1/nov,5-Nov
sucrose control,female,8,1,1/nov,9-Nov
sucrose control,female,13,1,1/nov,14-Nov
sucrose control,male,10,1,1/nov,11-Nov
sucrose control,female,13,1,1/nov,14-Nov
sucrose control,female,2,1,1/nov,3-Nov
sucrose control,male,3.5,1,23-Mar,27-Mar
sucrose control,female,5,1,23-Mar,28-Mar
sucrose control,female,7.5,1,23-Mar,31-Mar
sucrose control,female,8.5,1,27-May,5-Jun
sucrose control,female,10.5,1,27-May,7-Jun
sucrose control,female,13,1,27-May,10-Jun
Tanacetum vulgare,male,2.5,1,7-Sep,9-Sep
Tanacetum vulgare,female,2.5,1,7-Sep,9-Sep
Tanacetum vulgare,male,3.5,1,20-Oct,23-Oct
Tanacetum vulgare,male,6,1,20-Oct,26-Oct
Tanacetum vulgare,female,3.5,1,20-Oct,23-Oct
Tanacetum vulgare,female,8.5,1,20-Oct,28-Oct
Tanacetum vulgare,female,8,1,18-Oct,26-Oct
Tanacetum vulgare,male,3.5,1,19-Oct,22-Oct
Tanacetum vulgare,male,2.5,1,26-Oct,28-Oct
Tanacetum vulgare,female,2.5,1,26-Oct,28-Oct
Tanacetum vulgare,female,3.5,1,26-Oct,29-Oct
Tanacetum vulgare,male,2,1,9-Sep,11-Sep
Tanacetum vulgare,female,2,1,9-Sep,11-Sep
Tanacetum vulgare,female,4,1,9-Sep,13-Sep
Tripleurospermum maritimum,female,3.5,1,20-Oct,23-Oct
Tripleurospermum maritimum,female,5,1,6-Sep,11-Sep
Tripleurospermum maritimum,male,4,1,7-Sep,11-Sep
Tripleurospermum maritimum,female,4,1,7-Sep,11-Sep
Tripleurospermum maritimum,male,4,1,9-Sep,13-Sep
Tripleurospermum maritimum,female,2,1,9-Sep,11-Sep
Tripleurospermum maritimum,male,3,0,24-Mar,27-Mar
Tripleurospermum maritimum,female,4,1,24-Mar,28-Mar
Tripleurospermum maritimum,male,7.5,1,23-Mar,31-Mar
Tripleurospermum maritimum,female,3.5,1,23-Mar,27-Mar
Tripleurospermum maritimum,female,3.5,1,23-Mar,27-Mar
Tripleurospermum maritimum,male,2.5,1,27-May,30-May
Tripleurospermum maritimum,female,2,1,27-May,29-May
Tripleurospermum maritimum,female,2.5,0,27-May,30-May
Vicia cracca,male,3,1,1-Aug,4-Aug
Vicia cracca,female,3,1,1-Aug,4-Aug
Vicia cracca,female,2,1,1-Aug,3-Aug
Vicia cracca,female,5,1,22-Sep,27-Sep
Vicia cracca,female,3,1,22-Sep,25-Sep
Vicia cracca,male,2,1,23-Sep,25-Sep
Vicia cracca,male,2,1,23-Sep,25-Sep
Vicia cracca,male,2,1,25-Sep,27-Sep
Vicia cracca,female,2,1,25-Sep,27-Sep
Vicia cracca,female,3,1,22-Sep,25-Sep
Vicia cracca,female,3,1,22-Sep,25-Sep
Vicia cracca,male,2,1,23-Sep,25-Sep
Vicia cracca,male,3,1,23-Sep,26-Sep
Vicia cracca,male,2,1,3-Jul,5-Jul
Vicia cracca,female,3.5,1,3-Jul,7-Jul
Vicia cracca,female,6,1,3-Jul,9-Jul
ViciaS sativa,male,7,1,31-Jul,7-Aug
ViciaS sativa,male,7,1,31-Jul,7-Aug
ViciaS sativa,male,5,1,22-Sep,27-Sep
ViciaS sativa,male,20,1,22-Sep,12-Oct
ViciaS sativa,female,16,1,22-Sep,8-Oct
ViciaS sativa,female,10,1,22-Sep,2-Oct
ViciaS sativa,male,9,1,28-Jun,7-Jul
ViciaS sativa,male,7,1,28-Jun,5-Jul
ViciaS sativa,female,11,1,28-Jun,9-Jul
ViciaS sativa,male,11,1,18-Jul,29-Jul
ViciaS sativa,male,4,1,18-Jul,22-Jul
ViciaS sativa,female,17,1,18-Jul,4-Aug
ViciaS sativa,female,15,1,18-Jul,2-Aug
ViciaS sativa,male,4,1,18-Jul,22-Jul
ViciaS sativa,female,11,1,18-Jul,29-Jul
ViciaS sativa,female,11,1,18-Jul,29-Jul
ViciaS sativa,male,3,1,18-Jul,21-Jul
ViciaS sativa,male,14,1,18-Jul,1-Aug
ViciaS sativa,female,14,1,18-Jul,1-Aug
ViciaS sativa,female,11,1,18-Jul,29-Jul
ViciaS sativa,male,2,1,18-Jul,20-Jul
ViciaS sativa,male,6,1,8-Aug,14-Aug
ViciaS sativa,male,6,1,8-Aug,14-Aug
ViciaS sativa,female,8,1,8-Aug,16-Aug
ViciaS sativa,female,11,1,8-Aug,19-Aug
ViciaS sativa,male,8,1,8-Aug,16-Aug
ViciaS sativa,male,8,1,8-Aug,16-Aug
ViciaS sativa,female,14,0,8-Aug,22-Aug
ViciaS sativa,female,11,1,8-Aug,19-Aug
ViciaS sativa,male,21,1,10/sep,1-Oct
ViciaS sativa,female,16,1,10/sep,26-Sep
ViciaS sativa,female,16,1,10/sep,26-Sep
ViciaS sativa,male,12,1,12/sep,24-Sep
ViciaS sativa,male,12,1,12/sep,24-Sep
ViciaS sativa,female,12,1,12/sep,24-Sep
ViciaS sativa,female,1,1,12/sep,13-Sep
