Strain,Shoots_uninoc_mg,Shoots_mg,mass
Bradyrhizobium#38,3.6,40.8,11.33333333
Bradyrhizobium#38,4.5,30.6,6.8
Bradyrhizobium#38,4,13.8,3.45
Bradyrhizobium#38,174.3,108.6,0.623063683
Bradyrhizobium#38,40.5,92.3,2.279012346
Bradyrhizobium#38,6.1,85,13.93442623
Bradyrhizobium#38,10.5,49.9,4.752380952
Bradyrhizobium#38,3.8,30.5,8.026315789
Bradyrhizobium#38,2.4,30.1,12.54166667
Bradyrhizobium#38,6.5,58,8.923076923
Bradyrhizobium#38,4.2,54.9,13.07142857
Bradyrhizobium#38,8.9,11.1,1.247191011
Bradyrhizobium#38,6,21.1,3.516666667
Bradyrhizobium#38,9.1,37.5,4.120879121
Bradyrhizobium#38,3.4,24.2,7.117647059
Bradyrhizobium#38,9.5,75.1,7.905263158
Bradyrhizobium#38,2.7,63.6,23.55555556
Bradyrhizobium#38,5.1,25.3,4.960784314
Bradyrhizobium#38,6.7,41.1,6.134328358
Bradyrhizobium#38,8.7,62.7,7.206896552
Bradyrhizobium#38,3.3,16.3,4.939393939
Bradyrhizobium#38,10,58.7,5.87
Bradyrhizobium#38,9.3,59.8,6.430107527
Bradyrhizobium#38,3.3,50.2,15.21212121
Bradyrhizobium#38,7.4,62.9,8.5
Bradyrhizobium#38,116.5,237.6,2.039484979
Bradyrhizobium#38,2.2,48.4,22
Bradyrhizobium#38,136.7,102.7,0.751280176
Bradyrhizobium#38,5.1,43.9,8.607843137
Bradyrhizobium#38,31.7,167.3,5.277602524
Bradyrhizobium#38,60.9,165.8,2.722495895
Bradyrhizobium#38,14.3,102,7.132867133
Bradyrhizobium#38,69.6,150.6,2.163793103
Bradyrhizobium#38,7.4,68.8,9.297297297
Bradyrhizobium#38,47.3,146.4,3.095137421
Bradyrhizobium#38,110.4,187.4,1.697463768
Bradyrhizobium#38,5.2,24.5,4.711538462
Bradyrhizobium#38,17.3,95,5.49132948
Bradyrhizobium#38,76.7,152.1,1.983050847
Bradyrhizobium#38,3.2,21.8,6.8125
Bradyrhizobium#38,12.6,79.1,6.277777778
Bradyrhizobium#38,137.9,152.1,1.102973169
Bradyrhizobium#38,3.6,29.4,8.166666667
Bradyrhizobium#38,11.4,39.9,3.5
Bradyrhizobium#38,73.3,163.2,2.226466576
Bradyrhizobium#38,105.8,166.2,1.570888469
Bradyrhizobium#38,57.6,131.3,2.279513889
Bradyrhizobium#38,87,143,1.643678161
